"","x"
"1",1.71595290852541
"2",2.40502684188824
"3",2.64603745983594
"4",3.50592969262401
"5",4.74985050118227
"6",3.16899939098291
"7",4.1552108323034
"8",3.86715467829444
"9",3.42742568479533
"10",2.98203261621226
"11",3.81213799910754
"12",4.31334956667666
"13",3.99385612130069
"14",2.82792325686009
"15",2.54676091956222
"16",2.8636384969017
"17",3.00602746770922
"18",3.00021856397695
"19",2.22060523112342
"20",2.13502219498017
"21",1.92508050214594
"22",1.70105394265083
"23",2.11032546553412
"24",1.85732886299905
"25",2.60554247498042
"26",2.53923908374193
"27",2.71515535604884
"28",2.08236524797925
"29",1.6571767111995
"30",1.44194190328465
"31",1.49346541184729
"32",1.32855173853461
"33",1.64744356478921
"34",1.36630678166056
"35",1.21847491601334
"36",1.42558580683098
"37",1.30761857628011
"38",1.34585936726169
"39",1.02332992978345
"40",1.27315833815472
"41",1.09715342302826
"42",1.7288283048956
"43",1.5402022243107
"44",1.43110845175219
"45",1.17693738157777
"46",1.04478086269901
"47",0.883803452005167
"48",1.00071500638892
"49",1.2401228079173
"50",1.48288841941425
"51",1.22867330052553
"52",1.42406748266516
"53",1.46537080225321
"54",1.79821664810123
"55",1.13555443177546
"56",1.35358602654874
"57",1.31704303830612
"58",1.34309077263589
"59",1.23000461487545
"60",1.33689192752955
"61",1.33300140166712
"62",1.02292960686945
"63",1.27237027617559
"64",1.01220500674613
"65",1.21350884028693
"66",1.11002988245426
"67",1.48823983946822
"68",1.27514928040399
"69",1.05403972865106
"70",1.33566041079124
"71",1.6237110784455
"72",1.6715187202008
"73",1.91433551611695
"74",1.11702483162955
"75",1.06444778791336
"76",1.15009401226115
"77",1.06997057947371
"78",0.983924282842616
"79",1.24270054881117
"80",0.866915970331975
"81",1.15344930568578
"82",1.44880381544252
"83",0.908749165166137
"84",1.08866427861323
"85",1.09199046354317
"86",1.13870884178167
"87",1.31323862099752
"88",1.39197796983123
"89",1.17027373997292
"90",1.1529807523604
"91",0.975560992425981
"92",1.38554091887604
"93",1.23635213047927
"94",0.902490054787773
"95",0.814952360956114
"96",0.89009133750737
"97",0.990801103129094
"98",0.947927032515242
"99",0.751744889452287
"100",0.843776937712538
"101",1.11389499883504
"102",1.04823745431356
"103",1.11693658887747
"104",1.32977692655625
"105",1.3669407420008
"106",1.22220997293096
"107",1.06200309256143
"108",1.38729672878887
"109",1.31580387288558
"110",1.44077423265788
"111",1.20813124368309
"112",1.2981440763245
"113",1.27228657607714
"114",0.977549405300487
"115",0.880189845667121
"116",0.770766020926821
"117",0.790748748299769
"118",0.878383144637332
"119",0.852455206833991
"120",1.10622590069581
"121",1.20000141045222
"122",1.09352734346698
"123",1.00203558443684
"124",0.969761739861302
"125",0.843982365885153
"126",0.870509989251023
"127",0.739258630153445
"128",0.766545515662153
"129",0.639441954862855
"130",0.652196241021396
"131",0.773367318653901
"132",0.75007500127543
"133",0.914990584330644
"134",0.785329578735463
"135",0.787462427240385
"136",0.768627871654125
"137",0.760604404082985
"138",1.02720541468039
"139",0.761635622497714
"140",0.721091619280796
"141",0.866058272997186
"142",1.00898809571752
"143",1.06347477749001
"144",1.06058495990915
"145",0.933053588837715
"146",0.906934187604363
"147",1.34918838268019
"148",1.461797207339
"149",1.08623422958826
"150",0.955125922418899
"151",0.962050217047351
"152",1.11427325370211
"153",1.27348072967104
"154",1.42855600189414
"155",1.28064455722991
"156",1.16556783540462
"157",1.21752641919553
"158",0.904867621571919
"159",1.03425699772452
"160",0.988203225024203
"161",0.914730527496472
"162",0.991800701509041
"163",0.792199423443314
"164",0.830019691277667
"165",0.7598297006832
"166",0.692131038802829
"167",0.80370358428953
"168",1.01230497733495
"169",0.967099472057178
"170",0.827148050663338
"171",1.0916503037705
"172",0.971160666823836
"173",1.05705930842847
"174",0.988140669839551
"175",0.994193838562883
"176",0.886988212574311
"177",1.21844550577632
"178",1.00019732383976
"179",1.01447986290003
"180",1.56622972983366
"181",1.23844564371185
"182",1.19654968342526
"183",1.13885539481878
"184",1.20324144506058
"185",1.06207981747724
"186",1.55927275956835
"187",1.52672713365781
"188",1.22470798667732
"189",1.17947183135384
"190",1.22331150698002
"191",1.26905935061727
"192",1.77832330343172
"193",1.40983407724789
"194",1.62801067764185
"195",1.94476248325667
"196",1.33539938597632
"197",1.4266037887798
"198",1.34642705973553
"199",1.10826181615785
"200",1.24073723220851
"201",1.31240751689146
"202",1.02684631323866
"203",0.912016897321324
"204",1.28596184049287
"205",1.16291888896876
"206",0.828605256088123
"207",0.907582520635263
"208",1.28616297984496
"209",1.43105754804037
"210",0.973576002657409
"211",1.11764000643495
"212",1.22403839719871
"213",1.16600050853079
"214",1.2151691491259
"215",1.16227430782901
"216",0.839080524777453
"217",0.881964703705175
"218",1.33975497680243
"219",1.11229340851324
"220",1.08441903372069
"221",1.04690492441504
"222",0.836446694548622
"223",0.979800992405083
"224",0.94768095010361
"225",0.689339853969072
"226",0.911719669345976
"227",0.898255229663217
"228",0.748965688427142
"229",0.827800549692671
"230",0.802063516916398
"231",0.99747402821221
"232",0.817740395817162
"233",0.937370157637983
"234",1.28666017501464
"235",0.967666844668972
"236",1.07981236274278
"237",1.23075961310419
"238",0.84748344420423
"239",1.09392821764809
"240",0.960753304338804
"241",1.02466180522788
"242",1.21523920522407
"243",1.30164830461215
"244",1.06553810449977
"245",0.971505368225439
"246",1.17132555077372
"247",0.908432920609582
"248",0.70095974350153
"249",0.728980113402302
"250",0.788797004620744
"251",0.828308817061575
