"","x"
"1",40.5706932224803
"2",7.22835818157416
"3",3.38804300545371
"4",2.90653566993637
"5",2.91323878025651
"6",2.90916208082501
"7",2.86859727589249
"8",3.02927149197149
"9",2.98686121013228
"10",3.02194146009547
"11",2.92189611965963
"12",2.85609711934673
"13",2.89238173202546
"14",2.71043145681245
"15",2.93911716073813
"16",2.68964344790128
"17",2.89477139381819
"18",2.73539532757848
"19",2.8064176168382
"20",2.90336681904982
"21",2.73018361969359
"22",3.00994555930256
"23",2.73964090277381
"24",2.94972828620191
"25",2.76014344390152
"26",2.90183037811707
"27",2.76719314383195
"28",2.73137663634263
"29",2.86453009357663
"30",2.94518268589869
"31",2.92086930534351
"32",2.70469001346342
"33",2.86806121210268
"34",2.9069853702019
"35",2.72921096223546
"36",2.86265255947871
"37",2.87173922331856
"38",2.94913769838466
"39",2.87998342017027
"40",2.92396329969465
"41",2.88876601075111
"42",2.87191181221082
"43",2.8664660663178
"44",2.79484877487705
"45",2.92008172184415
"46",2.92912373935733
"47",2.80371924939335
"48",2.86290532142602
"49",2.78141999375351
"50",2.86436658347501
"51",2.95445234332534
"52",3.00588329533735
"53",2.90160270405988
"54",2.89749256100915
"55",2.81923897026191
"56",2.88024206389779
"57",2.85745606216985
"58",2.94824320947876
"59",2.76380572100378
"60",2.9564688597685
"61",2.85206754497645
"62",2.88466052305196
"63",2.89231124336053
"64",2.93075688560408
"65",2.82817812558287
"66",2.90652465979505
"67",2.82424494213407
"68",2.92796026829153
"69",2.93954770722511
"70",2.84525502318268
"71",2.8310127748385
"72",2.96054889261165
"73",2.85415205970071
"74",2.89479312217126
"75",2.85536206307757
"76",3.02941077146479
"77",2.80665149600596
"78",2.82388450304092
"79",2.92670979255898
"80",2.76672740630271
"81",2.91816484850248
"82",2.85182416397785
"83",3.1760297795651
"84",2.9095672962188
"85",2.80941702814009
"86",2.94547994464397
"87",2.84088440424678
"88",2.87607836078669
"89",2.74171792153845
"90",2.87036672368927
"91",2.6880335491189
"92",2.73717715318087
"93",2.97298289364161
"94",2.99788665063507
"95",2.75936338704177
"96",2.95385288890228
"97",2.80325481501084
"98",2.8036441474583
"99",2.82828359779578
