"","x"
"1",2.29159746498539
"2",9.1482549368911
"3",5.03558293360999
"4",5.22073438050311
"5",5.37299403409076
"6",4.94680882252336
"7",4.44732292213087
"8",3.77032141207795
"9",4.20955438111523
"10",2.9905540857169
"11",3.66573145662345
"12",4.52597816591719
"13",5.45489004464363
"14",3.47281677169194
"15",3.06241620749388
"16",2.72586294527311
"17",3.21987893658482
"18",3.41891502637533
"19",2.47217625383671
"20",3.13695817062818
"21",5.64725614340774
"22",2.69204495067311
"23",3.51264213630103
"24",3.85867482778326
"25",4.53298244129727
"26",3.06098435427638
"27",3.40115393476914
"28",3.4524480302013
"29",2.93211620143263
"30",4.16411478750451
"31",3.48099912642016
"32",3.05847664394185
"33",3.8666362945111
"34",4.52684903624186
"35",3.44568451387201
"36",4.16875014155815
"37",3.108583142981
"38",3.12967954316655
"39",3.70405082917058
"40",3.48983911798463
"41",3.50787728563462
"42",3.5724065253883
"43",4.40897192861462
"44",3.97801390950719
"45",3.25192351569495
"46",2.7941957218645
"47",3.50012611026333
"48",4.65039623115572
"49",3.58248697400591
"50",3.00114293198633
"51",3.75511275938884
"52",3.01119203643196
"53",3.87291603356427
"54",3.02791553423464
"55",3.59429876140401
"56",3.21493089977624
"57",3.29127691105588
"58",4.1516407216083
"59",4.44473389068986
"60",2.99720863119672
"61",3.62403179925315
"62",4.02525788891941
"63",3.71548415007717
"64",4.06866856927728
"65",3.07784232461087
"66",3.73894276877179
"67",2.89214428395808
"68",4.26725121681029
"69",3.55117376420309
"70",3.41042877704749
"71",3.41394682098042
"72",3.79517526459303
"73",3.79560838447901
"74",4.87127950013183
"75",4.16246688104342
"76",2.70390513614357
"77",2.90103188906349
"78",3.34330100976389
"79",3.79128236287275
"80",2.6170851154838
"81",3.53207921743349
"82",3.97979290063618
"83",3.99021951622886
"84",3.29330291154816
"85",3.15302068925353
"86",2.94702275610297
"87",3.86043324735566
"88",3.56874656017869
"89",2.99608192488735
"90",2.66465484758723
"91",4.96415107746372
"92",3.98133694215409
"93",3.34756831399992
"94",3.98569259705522
"95",3.08842889904655
"96",3.43719095886641
"97",3.78542545896454
"98",3.6472433619388
"99",4.31183238331495
"100",3.59373465535113
"101",3.6245333201964
"102",3.16380872251506
"103",3.70606315370917
"104",3.51984815895827
"105",2.59747603674468
"106",3.36669747326772
"107",3.52359952051126
"108",3.47126469518859
"109",2.51867380884825
"110",3.49145885898467
"111",2.95619355104933
"112",2.9997410705943
"113",4.50532322880605
"114",3.73046218523995
"115",3.55720035428944
"116",4.75168072043126
"117",3.68150860406153
"118",3.65154609513926
"119",3.43664820055117
"120",3.91875121329393
"121",2.9943451620555
"122",3.57215503001125
"123",3.0191945773654
"124",3.23635061537833
"125",2.98366826622347
"126",2.17479790223404
"127",3.65905794504495
"128",3.75086124398428
"129",2.57490555539575
"130",3.99493047546838
"131",3.52517674652159
"132",2.90834947066107
"133",3.11203753776552
"134",3.36935156379786
"135",3.52300642365541
"136",3.10314145002403
"137",3.33389160339104
"138",3.4190886440822
"139",2.89199042866402
"140",4.51826799045357
"141",3.22338582270832
"142",3.43560807843078
"143",3.73480012701265
"144",3.03882743422004
"145",2.60093689085694
"146",3.28992821713655
"147",4.00491668649903
"148",4.74810242715716
"149",3.36865809810848
"150",3.19701138405749
"151",3.65379618151576
"152",3.48537905246061
"153",3.71874193562338
"154",3.55131551139005
"155",3.26917343323204
"156",3.82170340637906
"157",2.75982051680414
"158",3.27861923944998
"159",3.48710470613205
"160",3.5371748231873
"161",5.17162501157836
"162",3.23773466477785
"163",4.29431411144162
"164",3.77765160292032
"165",2.9034122493161
"166",3.54733824802239
"167",3.46767339390844
"168",4.52168083091511
"169",3.46447110451448
"170",4.57600944875623
"171",4.23896168261598
"172",4.46323739670945
"173",3.55716358034414
"174",2.97977851299669
"175",3.50690886867579
"176",3.56138581594637
"177",3.13515330262152
"178",2.55022486649667
"179",3.48481752755132
"180",3.31680182477543
"181",4.09487822439225
"182",3.16058306072784
"183",3.60628829703557
"184",4.0474719285297
"185",3.74778980027841
"186",3.80344428781915
"187",3.5606558995943
"188",3.84114767498505
"189",2.51160354981254
"190",3.48844417298391
"191",3.2400642424207
"192",3.35948052367528
"193",3.22453808163315
"194",2.64514486530188
"195",3.28399391921597
"196",2.95393762733064
"197",2.84887516147745
"198",4.10132852287084
"199",3.16443038784138
"200",3.93863332500794
"201",3.59881718472796
"202",3.68618011946198
"203",3.27840537827802
"204",3.49792963645201
"205",3.06360139777838
"206",3.963100732071
"207",3.76932762336764
"208",3.59107799164641
"209",4.23697416362495
"210",2.83788149568419
"211",2.68399137690878
"212",4.21194414565858
"213",3.72658598208994
"214",2.95653932092529
"215",3.63875733900755
"216",3.14234071456162
"217",3.92303718632876
"218",3.35985958068314
"219",2.98359353561153
"220",2.81412948524648
"221",4.59653659470426
"222",4.30689537476037
"223",3.78456288155001
"224",4.50529677651295
"225",2.84990235170868
"226",3.67478444352819
"227",3.33014093801402
"228",3.3990049024089
"229",4.14016845311512
"230",3.19408098254057
"231",3.02448592768061
"232",3.76524493309577
"233",3.55731064389207
"234",2.90022559634947
"235",4.17582505105907
"236",4.45106750244869
"237",3.32047881105385
"238",3.71915080755043
"239",3.54321906431572
"240",3.24082729449007
"241",2.98008152396355
"242",4.07765634197104
"243",3.31425827018632
"244",3.1809284941553
"245",4.84184901122631
"246",3.14614250968508
"247",3.97506996306815
"248",4.26785251734148
"249",4.83054907372919
"250",3.85033489277781
"251",4.06034752461051
"252",2.8732544384201
"253",3.53043912545727
"254",3.60032674539898
"255",2.43404032943336
"256",3.38286972950907
"257",3.72221736171436
"258",3.38874939938423
"259",3.08176063159846
"260",2.98171483560755
"261",3.6631103629303
"262",3.15981415592609
"263",3.47845119506003
"264",4.33733994326939
"265",2.77107891284712
"266",4.36512144939279
"267",3.1322017500691
"268",4.02894235579663
"269",3.59226291182124
"270",3.60234091697556
"271",3.01650471455365
"272",2.88375819540692
"273",4.28997049622771
"274",3.13701792379813
"275",3.19784030007542
"276",4.19475844670898
"277",3.11438517744854
"278",3.38203043513864
"279",2.91482594447306
"280",3.22121614875044
"281",3.31680574475497
"282",3.76824414506475
"283",3.15711422055247
"284",4.22943458336884
"285",2.35759548460219
"286",2.93660083650107
"287",3.48420610979426
"288",3.26588973322777
"289",3.26376136349999
"290",4.12355465641971
"291",3.27576466163054
"292",2.75578603153912
"293",3.20861710375898
"294",3.47864310358659
"295",3.28019260376295
"296",4.52656994813253
"297",4.66308245597875
"298",3.93237104782525
"299",3.95273902949956
"300",2.87508121147399
"301",3.24564510576578
"302",2.99801940307619
"303",3.13615694710424
"304",3.32775596214092
"305",3.47168208062319
"306",3.63991854154038
"307",3.29984721509956
"308",3.85948282417576
"309",2.66144223298226
"310",3.45522532530935
"311",3.17944488590069
"312",3.83897799107741
"313",3.84324626074535
"314",3.2618675547228
"315",3.48421581964865
"316",3.40127867741041
"317",4.02466552217448
"318",3.17265785524662
"319",3.53315452432052
"320",3.66619565732903
"321",4.5784082865311
"322",4.11422588554645
"323",3.54045626721261
"324",3.40152426067022
"325",4.11350019941373
"326",4.25418622805568
"327",5.53651877112735
"328",4.04752692121693
"329",4.24675300171999
"330",2.69844331166907
"331",4.2147089456277
"332",4.06092095003515
"333",3.02578349796445
"334",4.65331778891651
"335",3.57242189303473
"336",3.34142507833403
"337",3.76329636862287
"338",3.44024866536937
"339",3.11690410138177
"340",3.32246237897215
"341",2.62665994733972
